label,mean_intensity_nucleoplasm,area_nucleoplasm,mean_intensity_membrane,area_membrane,ratio,filename,localization
12,127.58416071982624,12892.0,67.48817204301075,4650.0,1.8904669789917534,47032_977_G4_4.tif,membrane
13,136.20008431703204,23720.0,73.89501953125,6144.0,1.843156483089275,47032_977_G4_4.tif,membrane
14,133.94137611848194,12964.0,57.733939393939394,4950.0,2.3199763869316428,47032_977_G4_4.tif,membrane
15,115.16485856230356,29589.0,47.473308112652376,7137.0,2.4258865274149777,47032_977_G4_4.tif,membrane
16,156.8346490598536,20901.0,74.3460109676278,5653.0,2.1095233896024834,47032_977_G4_4.tif,membrane
17,152.63019703543023,22128.0,98.54104863746119,5798.0,1.548899663093362,47032_977_G4_4.tif,membrane
18,106.3833910034602,7225.0,46.54595660749507,2535.0,2.2855560129648254,47032_977_G4_4.tif,membrane
19,133.15846619576186,24775.0,68.46873477342862,6157.0,1.944806876253803,47032_977_G4_4.tif,membrane
21,137.07168625625508,17186.0,106.57687231936654,6062.0,1.2861297509792582,47032_977_G4_4.tif,membrane
22,88.48744957418198,8924.0,59.90589680589681,4070.0,1.477107501802256,47032_977_G4_4.tif,membrane
23,128.48609517083077,22654.0,78.2194268577141,6002.0,1.6426366227990241,47032_977_G4_4.tif,membrane
24,148.4604352961026,17781.0,90.12824765063571,5427.0,1.6472131564299357,47032_977_G4_4.tif,membrane
25,136.8332435828397,38997.0,80.85133887349954,7581.0,1.6924054133096023,47032_977_G4_4.tif,membrane
26,178.7639111824505,14952.0,98.81608704928526,4687.0,1.8090567692008557,47032_977_G4_4.tif,membrane
27,142.5845358017969,14692.0,72.78409919766594,5484.0,1.9590066700498416,47032_977_G4_4.tif,membrane
28,157.36116087423864,11164.0,110.03981042654028,5275.0,1.4300384584839763,47032_977_G4_4.tif,membrane
29,130.14958061509785,2146.0,77.54444935869084,2261.0,1.6783868051351538,47032_977_G4_4.tif,membrane
2,181.87346363086843,4963.0,151.72316103379723,2012.0,1.198719182962152,47549_736_E7_1.tif,membrane
3,170.6396670340948,26309.0,103.89691129883843,7576.0,1.6423940317463754,47549_736_E7_1.tif,membrane
4,45.48097161385744,17579.0,44.81890945472736,3998.0,1.0147719381659397,47549_736_E7_1.tif,membrane
